Username,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Risk,Loyalty_Segment,Risk_Code,Loyalty_Code
7LsW41klO,12,2,6,3,2,1,321,6,Green,Casual Players,1,0
7bhnk,27,2,2025,2,2,3,223,7,Green,Casual Players,1,0
7lava,1,12,309,4,4,2,442,10,Green,Loyal Customers,1,2
7yffar,15,2,410,3,2,2,322,7,Green,Casual Players,1,0
8illy8unny,30,2,50648,1,2,4,124,7,Green,Casual Players,1,0
917,27,2,260,2,2,2,222,6,Green,Casual Players,1,0
945k,34,1,11,1,1,1,111,3,Green,Casual Players,1,0
96dacker,27,2,6000,2,2,4,224,8,Green,Casual Players,1,0
999DRAGON999,1,101,3775,4,4,3,443,11,Green,Loyal Customers,1,2
999_,2,3,920,4,2,3,423,9,Green,New,1,1
9Gramm,12,2,5500,3,2,4,324,9,Green,Casual Players,1,0
ADM,3,16,14575,4,4,4,444,12,Green,VIP,1,3
AEVCOM,21,1,4,2,1,1,211,4,Green,Casual Players,1,0
AKKI,8,14,53718,3,4,4,344,11,Amber,Loyal Customers,2,2
AL3X,13,1,1500,3,1,3,313,7,Green,Casual Players,1,0
ALFREDNATION,30,6,10000,1,3,4,134,8,Amber,Casual Players,2,0
ALIEN_SULACO,7,26,929,3,4,3,343,10,Amber,Loyal Customers,2,2
ALT-delete,1,2,520,4,2,2,422,8,Green,New,1,1
AMG360,4,2,68,4,2,1,421,7,Green,New,1,1
AMG81,6,15,94,3,4,1,341,8,Green,Loyal Customers,1,2
ANK_oco,8,2,2500,3,2,3,323,8,Green,Casual Players,1,0
ARCNET,27,1,1479,2,1,3,213,6,Green,Casual Players,1,0
ARMAGEDON2020,1,27,1200,4,4,3,443,11,Green,Loyal Customers,1,2
ARTEMMMMMMM,22,7,1669,2,3,3,233,8,Amber,Casual Players,2,0
ASHYR,21,1,1000,2,1,3,213,6,Green,Casual Players,1,0
Abaseen,1,2,8000,4,2,4,424,10,Green,New,1,1
Abdi90,16,1,1111,2,1,3,213,6,Green,Casual Players,1,0
Abegail,17,2,52,2,2,1,221,5,Green,Casual Players,1,0
Aberam08,27,3,45,2,2,1,221,5,Green,Casual Players,1,0
AbortedEmbryo,29,48,34310,1,4,4,144,9,Red,Casual Players,3,0
AceManagement,10,3,5600,3,2,4,324,9,Green,Casual Players,1,0
Aces,35,1,10000,1,1,4,114,6,Green,Casual Players,1,0
AcidMath,27,2,285,2,2,2,222,6,Green,Casual Players,1,0
Ackaron,9,53,2298,3,4,3,343,10,Amber,Loyal Customers,2,2
Ackaron76,5,76,1682,4,4,3,443,11,Green,Loyal Customers,1,2
Adam_Smitt,1,4,55,4,3,1,431,8,Green,Casual Players,1,0
Adaptation,11,30,3312,3,4,3,343,10,Amber,Loyal Customers,2,2
Addict3d,17,29,37459,2,4,4,244,10,Red,Casual Players,3,0
Adinoza,12,2,3500,3,2,3,323,8,Green,Casual Players,1,0
AdmiralNelson18,13,4,23,3,3,1,331,7,Green,Casual Players,1,0
Aelear,15,1,150,3,1,2,312,6,Green,Casual Players,1,0
Aerotos,4,1,30,4,1,1,411,6,Green,New,1,1
Aerozzz,2,1,100,4,1,1,411,6,Green,New,1,1
Aeschylus,2,3,1950,4,2,3,423,9,Green,New,1,1
AfterHours,20,2,36900,2,2,4,224,8,Green,Casual Players,1,0
Agent_Pupus,15,3,15,3,2,1,321,6,Green,Casual Players,1,0
Aikas,5,14,2531,4,4,3,443,11,Green,Loyal Customers,1,2
Ainur999,7,4,211,3,3,2,332,8,Green,Casual Players,1,0
Ajay,19,1,4,2,1,1,211,4,Green,Casual Players,1,0
Ajjaj,8,1,30000,3,1,4,314,8,Green,Casual Players,1,0
Ajzfern,3,1,29,4,1,1,411,6,Green,New,1,1
Akeno,29,14,7720,1,4,4,144,9,Red,Casual Players,3,0
AksDe97,29,1,160,1,1,2,112,4,Green,Casual Players,1,0
AlPo,3,20,265,4,4,2,442,10,Green,Loyal Customers,1,2
Alalay_ng_Panday,17,1,3500,2,1,3,213,6,Green,Casual Players,1,0
Albert1985,26,61,1097,2,4,3,243,9,Amber,Casual Players,2,0
AlbiAlbo,30,1,20,1,1,1,111,3,Green,Casual Players,1,0
Aleks-rdx,34,6,3523,1,3,3,133,7,Amber,Casual Players,2,0
Aleks1976,28,2,31,2,2,1,221,5,Green,Casual Players,1,0
Aleks8,8,1,59,3,1,1,311,5,Green,Casual Players,1,0
Alekss1,1,16,178,4,4,2,442,10,Green,Loyal Customers,1,2
Alekss11,1,18,256,4,4,2,442,10,Green,Loyal Customers,1,2
Alerithe,5,2,14,4,2,1,421,7,Green,New,1,1
Alex2016,5,17,117862,4,4,4,444,12,Green,VIP,1,3
Alex8690,32,1,400,1,1,2,112,4,Green,Casual Players,1,0
AlexBred,22,3,30,2,2,1,221,5,Green,Casual Players,1,0
AlexK08,2,3,4,4,2,1,421,7,Green,New,1,1
AlexLor2016,39,1,2,1,1,1,111,3,Green,Casual Players,1,0
AlexanderL2552,3,23,38910,4,4,4,444,12,Green,VIP,1,3
Alexy,2,47,12216534,4,4,4,444,12,Green,VIP,1,3
AliasDk,2,1,1,4,1,1,411,6,Green,New,1,1
Alice68,5,18,21087,4,4,4,444,12,Green,VIP,1,3
AlienTvPL,26,9,12,2,3,1,231,6,Green,Casual Players,1,0
Alight,5,1,5000,4,1,3,413,8,Green,New,1,1
Alisher,32,3,129,1,2,2,122,5,Green,Casual Players,1,0
Allex_Fast,18,3,19,2,2,1,221,5,Green,Casual Players,1,0
Almero92,3,2,1330,4,2,3,423,9,Green,New,1,1
Alvein,4,3,3030,4,2,3,423,9,Green,New,1,1
Alyschu,27,3,2400,2,2,3,223,7,Green,Casual Players,1,0
AmericanNinja,20,22,4864,2,4,3,243,9,Amber,Casual Players,2,0
Amiri220,26,90,1198,2,4,3,243,9,Amber,Casual Players,2,0
AnAcHiE99,33,2,620,1,2,2,122,5,Green,Casual Players,1,0
AndKs,23,12,618,2,4,2,242,8,Green,Casual Players,1,0
And_Smi,33,3,109,1,2,2,122,5,Green,Casual Players,1,0
AndreaEbbasta,32,2,1500,1,2,3,123,6,Green,Casual Players,1,0
Andrew12064,10,2,1600,3,2,3,323,8,Green,Casual Players,1,0
Androcles,27,7,6450,2,3,4,234,9,Amber,Casual Players,2,0
Androidtlt,1,10,156,4,3,2,432,9,Green,Casual Players,1,0
Andromeda,1,13,7214,4,4,4,444,12,Green,VIP,1,3
Andycarr,10,19,10250,3,4,4,344,11,Amber,Loyal Customers,2,2
Ang3l0000,36,5,625,1,3,2,132,6,Green,Casual Players,1,0
Angel777fire,16,154,962,2,4,3,243,9,Amber,Casual Players,2,0
AngelicDevil,35,1,100,1,1,1,111,3,Green,Casual Players,1,0
Aniketdas,5,1,60,4,1,1,411,6,Green,New,1,1
Annakent,8,51,2198,3,4,3,343,10,Amber,Loyal Customers,2,2
Annnna,36,2,5150,1,2,3,123,6,Green,Casual Players,1,0
Annonymous,38,3,41,1,2,1,121,4,Green,Casual Players,1,0
Anon12312,27,6,404,2,3,2,232,7,Green,Casual Players,1,0
Anonypaeng,10,1,2,3,1,1,311,5,Green,Casual Players,1,0
Aochoa127,2,5,9003,4,3,4,434,11,Green,Casual Players,1,0
ApithBot,32,1,40008,1,1,4,114,6,Green,Casual Players,1,0
Appeltaart,37,3,4048,1,2,3,123,6,Green,Casual Players,1,0
Appiddlx19,16,2,2,2,2,1,221,5,Green,Casual Players,1,0
AppleSawce,23,1,75,2,1,1,211,4,Green,Casual Players,1,0
Archie2015,7,2,450,3,2,2,322,7,Green,Casual Players,1,0
ArhtuBan,39,1,41340,1,1,4,114,6,Green,Casual Players,1,0
ArinaAra,33,3,34419,1,2,4,124,7,Green,Casual Players,1,0
Arkantos,24,8,57,2,3,1,231,6,Green,Casual Players,1,0
ArminiusII,16,1,500,2,1,2,212,5,Green,Casual Players,1,0
Arrakis,10,2,13,3,2,1,321,6,Green,Casual Players,1,0
Arrogance,13,1,1361,3,1,3,313,7,Green,Casual Players,1,0
Arszilla,3,18,412,4,4,2,442,10,Green,Loyal Customers,1,2
Aryugex,3,9,10702,4,3,4,434,11,Green,Casual Players,1,0
Ashburnc55,7,1,3000,3,1,3,313,7,Green,Casual Players,1,0
Ashikune,29,53,17642,1,4,4,144,9,Red,Casual Players,3,0
AsianCanadians,21,13,22000,2,4,4,244,10,Red,Casual Players,3,0
AsmodeY,6,1,2,3,1,1,311,5,Green,Casual Players,1,0
Atherial,1,1,110,4,1,2,412,7,Green,New,1,1
Aurelion,29,1,230,1,1,2,112,4,Green,Casual Players,1,0
AutoRobot,40,2,1025,1,2,3,123,6,Green,Casual Players,1,0
AwkTurtle,8,23,335,3,4,2,342,9,Green,Loyal Customers,1,2
Axelarr,30,6,43,1,3,1,131,5,Green,Casual Players,1,0
Axman,3,2,7984,4,2,4,424,10,Green,New,1,1
Axolotl,34,1,260,1,1,2,112,4,Green,Casual Players,1,0
Ayaanu,5,1,100,4,1,1,411,6,Green,New,1,1
Aysuh,36,1,2000,1,1,3,113,5,Green,Casual Players,1,0
AyyVinny,4,5,11700,4,3,4,434,11,Green,Casual Players,1,0
Azorot,35,3,1042,1,2,3,123,6,Green,Casual Players,1,0
Azymis,13,1,6500,3,1,4,314,8,Green,Casual Players,1,0
B0N6K4R,1,1,3000,4,1,3,413,8,Green,New,1,1
B3asT,14,1,1000,3,1,3,313,7,Green,Casual Players,1,0
BANTSOT07,22,1,300,2,1,2,212,5,Green,Casual Players,1,0
BAUNTY,8,2,3202,3,2,3,323,8,Green,Casual Players,1,0
BBaGGu,18,1,82,2,1,1,211,4,Green,Casual Players,1,0
BELTHAZAR,3,3,2240,4,2,3,423,9,Green,New,1,1
BOCbMOu,4,11,640,4,4,2,442,10,Green,Loyal Customers,1,2
BOOJA,1,16,689000,4,4,4,444,12,Green,VIP,1,3
BRO33,2,25,3434,4,4,3,443,11,Green,Loyal Customers,1,2
BRO90,6,4,152,3,3,2,332,8,Green,Casual Players,1,0
Baalzebul,18,6,12395,2,3,4,234,9,Amber,Casual Players,2,0
Babah,26,14,9720,2,4,4,244,10,Red,Casual Players,3,0
Babuan12345,1,272,9711,4,4,4,444,12,Green,VIP,1,3
BabyBackBitch,34,7,33077,1,3,4,134,8,Amber,Casual Players,2,0
BabyBudz,25,12,2905,2,4,3,243,9,Amber,Casual Players,2,0
Baca,25,2,11,2,2,1,221,5,Green,Casual Players,1,0
BadaysCrib,8,6,1767,3,3,3,333,9,Amber,Casual Players,2,0
Badgamer,23,5,18604,2,3,4,234,9,Amber,Casual Players,2,0
Bahong,3,6,272,4,3,2,432,9,Green,Casual Players,1,0
BaitableHF,3,1,600,4,1,2,412,7,Green,New,1,1
BallinForARari,36,2,2010,1,2,3,123,6,Green,Casual Players,1,0
BamMargera,36,3,4555,1,2,3,123,6,Green,Casual Players,1,0
Bambr,34,11,5291,1,4,3,143,8,Amber,Casual Players,2,0
Bananonymous2,2,8,1813,4,3,3,433,10,Green,Casual Players,1,0
BangBros,27,7,3077,2,3,3,233,8,Amber,Casual Players,2,0
Bangs,21,29,55502,2,4,4,244,10,Red,Casual Players,3,0
BaoBa,16,1,20000,2,1,4,214,7,Green,Casual Players,1,0
BapeOverSupreme,20,10,248,2,3,2,232,7,Green,Casual Players,1,0
Barilla,35,2,5050,1,2,3,123,6,Green,Casual Players,1,0
Barmalei68,40,1,2,1,1,1,111,3,Green,Casual Players,1,0
Barni,1,8,12637,4,3,4,434,11,Green,Casual Players,1,0
BarvazT,3,1,28,4,1,1,411,6,Green,New,1,1
Basotik,1,25,6263,4,4,4,444,12,Green,VIP,1,3
Bator,9,30,102,3,4,2,342,9,Green,Loyal Customers,1,2
Bator2,9,50,86,3,4,1,341,8,Green,Loyal Customers,1,2
BatsBanaantje123,3,1,10,4,1,1,411,6,Green,New,1,1
Bazarok,18,1,15,2,1,1,211,4,Green,Casual Players,1,0
BeansDaddy12,1,6,15,4,3,1,431,8,Green,Casual Players,1,0
BearFawker,3,2,20,4,2,1,421,7,Green,New,1,1
BeatsByNav,21,6,3029,2,3,3,233,8,Amber,Casual Players,2,0
Beggar_King,14,2,55000,3,2,4,324,9,Green,Casual Players,1,0
Begin,2,5,940,4,3,3,433,10,Green,Casual Players,1,0
Bekka,38,3,228,1,2,2,122,5,Green,Casual Players,1,0
BelieveInMe,12,1,1000,3,1,3,313,7,Green,Casual Players,1,0
Benm2191,12,3,12,3,2,1,321,6,Green,Casual Players,1,0
Berlusconi,22,1,120,2,1,2,212,5,Green,Casual Players,1,0
BernieBro,26,1,300,2,1,2,212,5,Green,Casual Players,1,0
Beshlyaga,15,5,17,3,3,1,331,7,Green,Casual Players,1,0
Best777,10,1,20,3,1,1,311,5,Green,Casual Players,1,0
BetsLLC,17,1,5000,2,1,3,213,6,Green,Casual Players,1,0
Bhumitsolanki,5,9,17700,4,3,4,434,11,Green,Casual Players,1,0
BiGaLPaL,6,16,1052,3,4,3,343,10,Amber,Loyal Customers,2,2
Biapong,6,1,1583,3,1,3,313,7,Green,Casual Players,1,0
Bicarp,28,7,3370,2,3,3,233,8,Amber,Casual Players,2,0
BigMama,18,8,684,2,3,2,232,7,Green,Casual Players,1,0
Bigbar,24,3,170,2,2,2,222,6,Green,Casual Players,1,0
BiggestMom,39,2,128,1,2,2,122,5,Green,Casual Players,1,0
Bigmen,4,1,100,4,1,1,411,6,Green,New,1,1
BildungIstSuper,30,3,10,1,2,1,121,4,Green,Casual Players,1,0
BillGatesBTC,33,1,6000,1,1,4,114,6,Green,Casual Players,1,0
Bill_K,25,15,4890,2,4,3,243,9,Amber,Casual Players,2,0
Billionaire,1,8,97271,4,3,4,434,11,Green,Casual Players,1,0
BitBoyBroker,18,17,164,2,4,2,242,8,Green,Casual Players,1,0
BitBusterz,34,1,2000,1,1,3,113,5,Green,Casual Players,1,0
BitCoinGoals,11,2,1081,3,2,3,323,8,Green,Casual Players,1,0
BitTac,38,3,23,1,2,1,121,4,Green,Casual Players,1,0
BitTester,26,2,26,2,2,1,221,5,Green,Casual Players,1,0
BitWizards134x,20,13,1685,2,4,3,243,9,Amber,Casual Players,2,0
BitWizards5x,26,11,347,2,4,2,242,8,Green,Casual Players,1,0
Bitbank1424,32,1,500,1,1,2,112,4,Green,Casual Players,1,0
BitcoBumer,15,150,697,3,4,2,342,9,Green,Loyal Customers,1,2
BitcoinBlu,2,1,20000,4,1,4,414,9,Green,New,1,1
BitcoinWizards,1,48,24475,4,4,4,444,12,Green,VIP,1,3
Bitcowner,1,3,117,4,2,2,422,8,Green,New,1,1
BlackCoupon,2,16,4313,4,4,3,443,11,Green,Loyal Customers,1,2
BlackShadow,4,51,97205,4,4,4,444,12,Green,VIP,1,3
Blackshadow007,34,11,3025,1,4,3,143,8,Amber,Casual Players,2,0
Blackwheel,6,10,14903,3,3,4,334,10,Amber,Casual Players,2,0
Blarg,28,17,1185,2,4,3,243,9,Amber,Casual Players,2,0
BlizzardOBahs,1,2,23000,4,2,4,424,10,Green,New,1,1
Block4o,10,21,736,3,4,2,342,9,Green,Loyal Customers,1,2
Bloodaggie,39,1,60,1,1,1,111,3,Green,Casual Players,1,0
Bloodpawn3,7,4,1035,3,3,3,333,9,Amber,Casual Players,2,0
BluGz,19,3,2500,2,2,3,223,7,Green,Casual Players,1,0
BluePixel33,36,6,269,1,3,2,132,6,Green,Casual Players,1,0
BlueSalmon,26,1,19,2,1,1,211,4,Green,Casual Players,1,0
BobbyD,32,3,2160,1,2,3,123,6,Green,Casual Players,1,0
Bocah_Liar,1,27,25626,4,4,4,444,12,Green,VIP,1,3
Bodster96,3,34,1009,4,4,3,443,11,Green,Loyal Customers,1,2
Bond027,31,4,1561,1,3,3,133,7,Amber,Casual Players,2,0
BoolinAtTheBondo,35,1,50,1,1,1,111,3,Green,Casual Players,1,0
Boom228,4,2,202,4,2,2,422,8,Green,New,1,1
Boooom,34,1,1000,1,1,3,113,5,Green,Casual Players,1,0
Borsergey,13,32,509,3,4,2,342,9,Green,Loyal Customers,1,2
Borysik99,4,3,3200,4,2,3,423,9,Green,New,1,1
BostaBit,25,1,100,2,1,1,211,4,Green,Casual Players,1,0
Br1an,1,1,50,4,1,1,411,6,Green,New,1,1
BrOkEnSiL,20,9,75,2,3,1,231,6,Green,Casual Players,1,0
Brabus111,37,1,1,1,1,1,111,3,Green,Casual Players,1,0
Brak,41,1,1000,1,1,3,113,5,Green,Casual Players,1,0
Bram2,6,1,100,3,1,1,311,5,Green,Casual Players,1,0
Brat1,29,1,114,1,1,2,112,4,Green,Casual Players,1,0
Bratuha,28,4,22,2,3,1,231,6,Green,Casual Players,1,0
Bratushka,1,4,154,4,3,2,432,9,Green,Casual Players,1,0
Breadstick,24,1,2000,2,1,3,213,6,Green,Casual Players,1,0
BreakfastBowls,21,14,3515,2,4,3,243,9,Amber,Casual Players,2,0
BreakingBenjamin,34,2,334,1,2,2,122,5,Green,Casual Players,1,0
BreakingTheHabit,14,1,1,3,1,1,311,5,Green,Casual Players,1,0
Breh,40,3,12,1,2,1,121,4,Green,Casual Players,1,0
Brennan,3,6,10000,4,3,4,434,11,Green,Casual Players,1,0
BroWatchaDoin,19,4,504000,2,3,4,234,9,Amber,Casual Players,2,0
BruskG,37,2,312,1,2,2,122,5,Green,Casual Players,1,0
Bryan27,31,1,10,1,1,1,111,3,Green,Casual Players,1,0
BuSteRbitZ,11,11,77,3,4,1,341,8,Green,Loyal Customers,1,2
Bubba,32,8,178,1,3,2,132,6,Green,Casual Players,1,0
BubbaKush,1,4,800,4,3,2,432,9,Green,Casual Players,1,0
Buckla,9,6,16,3,3,1,331,7,Green,Casual Players,1,0
Budderman,29,1,100,1,1,1,111,3,Green,Casual Players,1,0
Buder,15,1,40,3,1,1,311,5,Green,Casual Players,1,0
Bue,4,2,1050,4,2,3,423,9,Green,New,1,1
Bulldogka,15,3,47,3,2,1,321,6,Green,Casual Players,1,0
BullyZ,40,1,1153,1,1,3,113,5,Green,Casual Players,1,0
BumbleBeeTC,4,1,5000,4,1,3,413,8,Green,New,1,1
Buntygarg55,21,1,1,2,1,1,211,4,Green,Casual Players,1,0
Burnzy,7,1,10,3,1,1,311,5,Green,Casual Players,1,0
BustDeezNuts991,7,1,81,3,1,1,311,5,Green,Casual Players,1,0
BustTheBank,14,21,37292,3,4,4,344,11,Amber,Loyal Customers,2,2
BustaClick,1,35,17074,4,4,4,444,12,Green,VIP,1,3
BustaFaux,16,1,1000,2,1,3,213,6,Green,Casual Players,1,0
BustaNut007,3,7,135000,4,3,4,434,11,Green,Casual Players,1,0
BustaYoFace,2,39,434679,4,4,4,444,12,Green,VIP,1,3
Bustacash,7,45,491,3,4,2,342,9,Green,Loyal Customers,1,2
Bustachatte,4,5,58484,4,3,4,434,11,Green,Casual Players,1,0
Bustachattezer,6,4,25750,3,3,4,334,10,Amber,Casual Players,2,0
Bustmen,8,3,3600,3,2,3,323,8,Green,Casual Players,1,0
Bustyy,1,2,200,4,2,2,422,8,Green,New,1,1
Bvoronchikhin,11,3,40,3,2,1,321,6,Green,Casual Players,1,0
CADEKO,18,7,666,2,3,2,232,7,Green,Casual Players,1,0
CCCAM,4,6,32,4,3,1,431,8,Green,Casual Players,1,0
CIP1,1,112,52378,4,4,4,444,12,Green,VIP,1,3
CKkio23,28,1,1000,2,1,3,213,6,Green,Casual Players,1,0
COTHUK,30,19,1070,1,4,3,143,8,Amber,Casual Players,2,0
CREAM36CH,10,2,2,3,2,1,321,6,Green,Casual Players,1,0
CRuiz78,9,7,43400,3,3,4,334,10,Amber,Casual Players,2,0
CaNteR,17,1,3,2,1,1,211,4,Green,Casual Players,1,0
Callmedaddy0,27,1,200,2,1,2,212,5,Green,Casual Players,1,0
CallumKek,36,2,315,1,2,2,122,5,Green,Casual Players,1,0
CallumShadow,28,1,600,2,1,2,212,5,Green,Casual Players,1,0
Camille,13,1,3112,3,1,3,313,7,Green,Casual Players,1,0
Camthebitman,6,10,6079,3,3,4,334,10,Amber,Casual Players,2,0
Candy,35,6,1208,1,3,3,133,7,Amber,Casual Players,2,0
CaptainBaconz,35,9,4810,1,3,3,133,7,Amber,Casual Players,2,0
CaptainJackpot,37,13,12253,1,4,4,144,9,Red,Casual Players,3,0
Carterack,9,2,140,3,2,2,322,7,Green,Casual Players,1,0
Caruso,14,21,102,3,4,2,342,9,Green,Loyal Customers,1,2
Cashguru,9,2,123,3,2,2,322,7,Green,Casual Players,1,0
Celena,28,3,3500,2,2,3,223,7,Green,Casual Players,1,0
Chak_Noris,21,1,30,2,1,1,211,4,Green,Casual Players,1,0
Champagne,39,1,8000,1,1,4,114,6,Green,Casual Players,1,0
ChaoticForce,25,23,44425,2,4,4,244,10,Red,Casual Players,3,0
ChaoticForceta,34,2,8,1,2,1,121,4,Green,Casual Players,1,0
ChapelleSNL,28,1,250,2,1,2,212,5,Green,Casual Players,1,0
Charles151,6,24,501,3,4,2,342,9,Green,Loyal Customers,1,2
Charm2526,10,1,500,3,1,2,312,6,Green,Casual Players,1,0
Chashoff,10,7,205,3,3,2,332,8,Green,Casual Players,1,0
ChasingNyan,2,9,53266,4,3,4,434,11,Green,Casual Players,1,0
ChatSpammer,25,1,800,2,1,2,212,5,Green,Casual Players,1,0
Cheedaa,36,1,1020,1,1,3,113,5,Green,Casual Players,1,0
Cheepot10,12,46,1093,3,4,3,343,10,Amber,Loyal Customers,2,2
Chelashin,9,15,1984215,3,4,4,344,11,Amber,Loyal Customers,2,2
Cherry168,5,12,5971,4,4,4,444,12,Green,VIP,1,3
Chessj17,35,2,1032,1,2,3,123,6,Green,Casual Players,1,0
ChickenFawker,3,2,100,4,2,1,421,7,Green,New,1,1
Chieralph15,19,33,722,2,4,2,242,8,Green,Casual Players,1,0
Choi-SoonSil,7,3,21232,3,2,4,324,9,Green,Casual Players,1,0
ChokingChicken,26,37,13679,2,4,4,244,10,Red,Casual Players,3,0
Chrisgktian,13,1,6,3,1,1,311,5,Green,Casual Players,1,0
Chromastone,7,1,57,3,1,1,311,5,Green,Casual Players,1,0
ChromeProducts_,7,7,910,3,3,3,333,9,Amber,Casual Players,2,0
Chryses,1,45,4527,4,4,3,443,11,Green,Loyal Customers,1,2
Chryses2,27,17,4650,2,4,3,243,9,Amber,Casual Players,2,0
Chryses3,27,3,443,2,2,2,222,6,Green,Casual Players,1,0
Chubydonutz,11,1,100,3,1,1,311,5,Green,Casual Players,1,0
Chud_leye,40,1,10000,1,1,4,114,6,Green,Casual Players,1,0
Chulo,35,1,300,1,1,2,112,4,Green,Casual Players,1,0
Cjtdelacruz,31,1,15,1,1,1,111,3,Green,Casual Players,1,0
Claire,40,2,38000,1,2,4,124,7,Green,Casual Players,1,0
ClemaX,1,1,5,4,1,1,411,6,Green,New,1,1
Clenbank,10,13,4127,3,4,3,343,10,Amber,Loyal Customers,2,2
ClientUser,18,8,3729,2,3,3,233,8,Amber,Casual Players,2,0
ClydeDrexler,30,2,167,1,2,2,122,5,Green,Casual Players,1,0
Cnaacer,38,1,600,1,1,2,112,4,Green,Casual Players,1,0
Cnacer,35,1,300,1,1,2,112,4,Green,Casual Players,1,0
CoSmIcScreaMz,5,8,1250,4,3,3,433,10,Green,Casual Players,1,0
